127.0.0.1 - - [07/Dec/2018:21:30:59 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:31:00 +0700] "GET /demo-jsv1/buildin-test.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:31:16 +0700] "GET /demo-jsv1/buildin-test.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:31:16 +0700] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:58:49 +0700] "GET /demo-jsv1/Homepage.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:58:57 +0700] "GET /demo-jsv1/Homepage.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [07/Dec/2018:22:31:56 +0700] "GET /demo-jsv1/student-form.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [07/Dec/2018:22:32:00 +0700] "GET /demo-jsv1/student-form.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [07/Dec/2018:22:32:21 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Dec/2018:22:34:22 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [07/Dec/2018:22:48:50 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [07/Dec/2018:22:49:27 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [07/Dec/2018:22:49:39 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:02:44 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:02:47 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:07:00 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:07:02 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:07:19 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:07:29 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:11:49 +0700] "GET /demo-jsv1/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:11:56 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:12:15 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:12:39 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=Ho HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:12:54 +0700] "GET /demo-jsv1/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:12:58 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=dzfghdfhd HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:13:27 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=dzfghdfhd HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:14:04 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=dzfghdfhd HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:14:13 +0700] "GET /demo-jsv1/student-response.jsp?firstName=Harry&lastName=dzfghdfhd HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:14:16 +0700] "GET /demo-jsv1/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:14:18 +0700] "GET /demo-jsv1/student-response.jsp?firstName=sadfas&lastName=asda HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [07/Dec/2018:23:15:04 +0700] "GET /demo-jsv1/student-response.jsp?firstName=harry&lastName=ho HTTP/1.1" 200 134
